计费项,是否计费,地域
"计算节点","是，会根据节点规格和使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
计费项,是否计费,地域
"数据分片节点","是，会根据数据分片（即Shard）数、每个分片中的节点（即Shard节点）数、节点规格，以及使用时长计费。",-
"分片代理节点","是，会根据分片代理节点（即Mongos节点）数、节点规格以及使用时长计费。",-
"元数据处理节点","是，会根据元数据处理节点（即 ConfigServer 节点）数、节点规格以及使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。说明：仅数据分片组件（即 Shard）和元数据处理节点（即 ConfigServer 节点）会产生存储空间费用。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
规格码,CPU和内存,默认最大连接数,按量计费 (小时),包月,包1年,包2年,包3年,地域
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","4.8333","2320","27840","55680","83520","华南1（广州）"
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","4.8333","2320","27840","55680","83520","华东2（上海）"
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","4.8333","2320","27840","55680","83520","华北2（北京）"
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","6.041625","2900","34800","69600","104400","亚太东南（柔佛）"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","10.15625","4875","58500","117000","175500","亚太东南（雅加达）"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","10.15625","4875","58500","117000","175500","中国香港"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","8.125","3900","46800","93600","140400","华东2（上海）"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","8.125","3900","46800","93600","140400","华南1（广州）"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","8.125","3900","46800","93600","140400","华北2（北京）"
"Mongos","mongo.mongos.16c128g","16 核 128GiB","24000","10.15625","4875","58500","117000","175500","亚太东南（柔佛）"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","12.5","6000","72000","144000","216000","亚太东南（雅加达）"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","12.5","6000","72000","144000","216000","中国香港"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","12.5","6000","72000","144000","216000","亚太东南（柔佛）"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","10","4800","57600","115200","172800","华北2（北京）"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","10","4800","57600","115200","172800","华南1（广州）"
"Mongos","mongo.mongos.32c64g","32 核 64GiB","24000","10","4800","57600","115200","172800","华东2（上海）"
"Mongos","mongo.mongos.32c128g","32 核 128GiB","42000","13.8875","6667.5","80010","160020","240030","亚太东南（雅加达）"
