模型提供方,模型,上下文长度,服务类型 ,定价（单位：元/千tokens）
"大语言模型输出（Doubao-pro-128k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.009","元/千Tokens"
"大语言模型输入（Doubao-pro-32k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0008","元/千Tokens"
"大语言模型输出（Doubao-pro-32k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.002","元/千Tokens"
"大语言模型输入（Doubao-lite-128k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0008","元/千Tokens"
"大语言模型输出（Doubao-lite-128k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.001","元/千Tokens"
"大语言模型输入（Doubao-lite-32k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0003","元/千Tokens"
"大语言模型输出（Doubao-lite-32k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0006","元/千Tokens"
,
,
,
官方组件名称,计费说明,单价,单位,免费额度
"联网资源","支持实时搜索互联网公开域内容","[0, 20000], 0；(20000, +∞), 0.004","元/次","2万次/月"
"头条资源","支持实时搜索今日头条图文内容，并提供内容详情信息供展示交互卡片","0.006","元/次","无"
"抖音资源","支持实时搜索抖音视频、抖音百科内容，并提供内容详情信息供展示交互卡片","0.006","元/次","无"
"墨迹天气","支持实时搜索墨迹天气内容资源","0.006","元/次","无"
,
,
,
模型服务,模型版本,按小时后付费,单价（元/个）
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-pro-32k TPM保障包（小时后付费）- 输入-每10K TPM","1.92"
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-pro-32k TPM保障包（小时后付费）- 输出-每1K TPM","0.48"
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-lite-32k TPM保障包（小时后付费）- 输入-每10K TPM","0.72"
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-lite-32k TPM保障包（小时后付费）- 输出-每1K TPM","0.144"
"字节跳动","Doubao-1.5-lite-32k","Doubao-pro-32k TPM保障包（小时后付费）- 输入-每10K TPM","1.92"
"字节跳动","Doubao-1.5-lite-32k","Doubao-pro-32k TPM保障包（小时后付费）- 输出-每1K TPM","0.48"
"字节跳动","Doubao-1.5-lite-32k","DeepSeek-R1 TPM保障包（小时后付费）- 输入-每10K TPM","9.6"
"字节跳动","Doubao-1.5-lite-32k","DeepSeek-R1 TPM保障包（小时后付费）- 输出-每1K TPM","3.84"
"字节跳动","Doubao-pro-32k","DeepSeek-V3 TPM保障包（小时后付费）- 输入-每10K TPM","4.8"
"字节跳动","Doubao-pro-32k","DeepSeek-V3 TPM保障包（小时后付费）- 输出-每1K TPM","1.92"
,
,
,
模型服务,模型版本,按天预付费,单价（元/个）
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-pro-32k TPM保障包（包天预付费）- 输入-每10K TPM",-
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-pro-32k TPM保障包（包天预付费）- 输出-每1K TPM",-
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-lite-32k TPM保障包（包天预付费）- 输入-每10K TPM",-
"字节跳动","Doubao-1.5-pro-32k","Doubao-1.5-lite-32k TPM保障包（包天预付费）- 输出-每1K TPM",-
"字节跳动","Doubao-1.5-lite-32k","Doubao-pro-32k TPM保障包（包天预付费）- 输入-每10K TPM",-
"字节跳动","Doubao-1.5-lite-32k","Doubao-pro-32k TPM保障包（包天预付费）- 输出-每1K TPM",-
"字节跳动","Doubao-1.5-lite-32k","DeepSeek-R1 TPM保障包（包天预付费）- 输入-每10K TPM",-
"字节跳动","Doubao-1.5-lite-32k","DeepSeek-R1 TPM保障包（包天预付费）- 输出-每1K TPM",-
"字节跳动","Doubao-pro-32k","DeepSeek-V3 TPM保障包（包天预付费）- 输入-每10K TPM",-
"字节跳动","Doubao-pro-32k","DeepSeek-V3 TPM保障包（包天预付费）- 输出-每1K TPM",-
