计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","48","23040","276480","552960","829440","亚太东南（雅加达）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","45","21600","259200","518400","777600","亚太东南（柔佛）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.2c4g","1.25","600","7200","14400","21600","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.2c4g","1.25","600","7200","14400","21600","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.2c4g","1.25","600","7200","14400","21600","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.4c8g","2.5","1200","14400","28800","43200","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.4c8g","2.5","1200","14400","28800","43200","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.4c8g","2.5","1200","14400","28800","43200","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.8c16g","5","2400","28800","57600","86400","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.8c16g","5","2400","28800","57600","86400","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.8c16g","5","2400","28800","57600","86400","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.16c32g","10","4800","57600","115200","172800","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.16c32g","10","4800","57600","115200","172800","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d2.16c32g","10","4800","57600","115200","172800","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.2c8g","2.08","1000","12000","24000","36000","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.2c8g","2.08","1000","12000","24000","36000","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.2c8g","2.08","1000","12000","24000","36000","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.4c16g","4.17","2000","24000","48000","72000","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.4c16g","4.17","2000","24000","48000","72000","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.4c16g","4.17","2000","24000","48000","72000","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.8c32g","8.33","4000","48000","96000","144000","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.8c32g","8.33","4000","48000","96000","144000","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.8c32g","8.33","4000","48000","96000","144000","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.16c64g","16.67","8000","96000","192000","288000","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.16c64g","16.67","8000","96000","192000","288000","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.16c64g","16.67","8000","96000","192000","288000","华北2（北京）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.24c96g","25","12000","144000","288000","432000","华东2（上海）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.24c96g","25","12000","144000","288000","432000","华南1（广州）"
" 标准版-基础版","通用型","rds.mssql.se.std.d4.24c96g","25","12000","144000","288000","432000","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","1.25","600","7200","14400","21600","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","2.13","1020","12240","24480","36720","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","1.25","600","7200","14400","21600","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","1.25","600","7200","14400","21600","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","3.38","1620","19440","38880","58320","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.s1","2.25","1080","12960","25920","38880","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","2.5","1200","14400","28800","43200","华东2（上海）"
