节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"rds.mysql.d1.n.64c128g(通用规格-64C128G)","25","12000","144000","288000","432000","个","华东2（上海）"
"rds.mysql.d1.n.64c128g(通用规格-64C128G)","31.25","15000","180000","360000","540000","个","亚太东南（雅加达）"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","47.5","22800","273600","547200","820800","个","中国香港"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","50","24000","288000","576000","864000","个","亚太东南（柔佛）"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","33.33","16000","192000","384000","576000","个","华北2（北京）"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","33.33","16000","192000","384000","576000","个","华南1（广州）"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","33.33","16000","192000","384000","576000","个","华东2（上海）"
"rds.mysql.d1.n.64c256g(通用规格-64C256G)","50","24000","288000","576000","864000","个","亚太东南（雅加达）"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","华东2（上海）"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","中国香港"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","华南1（广州）"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","华北2（北京）"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","亚太东南（雅加达）"
"rds.mysql.c.s.1c2g(通用规格-1c2g)","0.1875","90","1080","2160","3240","个","亚太东南（柔佛）"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.33333","160","1920","3840","5760","个","华东2（上海）"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.33333","160","1920","3840","5760","个","中国香港"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.33333","160","1920","3840","5760","个","华南1（广州）"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.33333","160","1920","3840","5760","个","华北2（北京）"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.47917","230","2760","5520","8280","个","亚太东南（雅加达）"
"rds.mysql.c.s.2c4g(通用规格-2c4g)","0.46875","225","2700","5400","8100","个","亚太东南（柔佛）"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","0.5","240","2880","5760","8640","个","华东2（上海）"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","1.04167","500","6000","12000","18000","个","中国香港"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","0.5","240","2880","5760","8640","个","华南1（广州）"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","0.5","240","2880","5760","8640","个","华北2（北京）"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","0.71875","345","4140","8280","12420","个","亚太东南（雅加达）"
"rds.mysql.c.s.2c8g(通用规格-2c8g)","0.88542","425","5100","10200","15300","个","亚太东南（柔佛）"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","0.64583","310","3720","7440","11160","个","华东2（上海）"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","1.40625","675","8100","16200","24300","个","中国香港"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","0.64583","310","3720","7440","11160","个","华南1（广州）"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","0.64583","310","3720","7440","11160","个","华北2（北京）"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","0.92708","445","5340","10680","16020","个","亚太东南（雅加达）"
"rds.mysql.c.s.2c16g(通用规格-2c16g)","1.04167","500","6000","12000","18000","个","亚太东南（柔佛）"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","0.66667","320","3840","7680","11520","个","华东2（上海）"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","1.25","600","7200","14400","21600","个","中国香港"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","0.66667","320","3840","7680","11520","个","华南1（广州）"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","0.66667","320","3840","7680","11520","个","华北2（北京）"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","0.95833","460","5520","11040","16560","个","亚太东南（雅加达）"
"rds.mysql.c.s.4c8g(通用规格-4c8g)","1.19792","575","6900","13800","20700","个","亚太东南（柔佛）"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","1","480","5760","11520","17280","个","华东2（上海）"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","2.08333","1000","12000","24000","36000","个","中国香港"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","1","480","5760","11520","17280","个","华南1（广州）"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","1","480","5760","11520","17280","个","华北2（北京）"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","1.4375","690","8280","16560","24840","个","亚太东南（雅加达）"
"rds.mysql.c.s.4c16g(通用规格-4c16g)","1.77083","850","10200","20400","30600","个","亚太东南（柔佛）"
"rds.mysql.c.s.4c32g(通用规格-4c32g)","1.29167","620","7440","14880","22320","个","华东2（上海）"
"rds.mysql.c.s.4c32g(通用规格-4c32g)","2.86458","1375","16500","33000","49500","个","中国香港"
